duplicates,duplicate_pairs
train-cbsd-1354.jpg,['train-cgm-455.jpg']
train-cbsd-1221.jpg,['3816048744.jpg']
2252678193.jpg,['train-cgm-410.jpg']
train-cbsd-837.jpg,['3782909126.jpg']
train-cbsd-240.jpg,['train-cbb-317.jpg']
train-cbb-405.jpg,['train-cgm-246.jpg']
2021239499.jpg,['train-cgm-623.jpg']
train-cbb-334.jpg,['1923898414.jpg']
train-cbb-448.jpg,['1359438859.jpg']
train-cbsd-183.jpg,['3293589198.jpg']
3521763231.jpg,['train-cbsd-1421.jpg']
2265725202.jpg,['train-cmd-1315.jpg']
train-cgm-264.jpg,['3457494065.jpg']
2948559947.jpg,['train-cmd-1527.jpg']
train-cbsd-666.jpg,['train-cgm-166.jpg']
train-cbb-155.jpg,['4083768019.jpg']
train-cgm-321.jpg,['train-cbb-213.jpg']
train-cgm-482.jpg,['114251805.jpg']
train-cbb-36.jpg,['3279881598.jpg']
3930711994.jpg,['train-cmd-2214.jpg']
train-cbsd-754.jpg,['2330851012.jpg']
1886905036.jpg,['train-cbb-303.jpg']
2221889127.jpg,['train-cbb-19.jpg']
train-cmd-590.jpg,['1948579246.jpg']
train-cbb-244.jpg,['train-cbsd-632.jpg']
2548461545.jpg,['train-cbb-254.jpg']
train-cbb-303.jpg,['1886905036.jpg']
3397650599.jpg,['train-cbb-221.jpg']
train-cbsd-321.jpg,['1738923752.jpg']
train-cgm-323.jpg,['379373523.jpg']
190449795.jpg,['train-cbsd-47.jpg']
train-cmd-1238.jpg,['881299929.jpg']
980448273.jpg,['train-cbsd-758.jpg']
train-cbb-115.jpg,['train-cbsd-656.jpg']
1492079032.jpg,['train-cbsd-729.jpg']
4121231239.jpg,['train-cgm-497.jpg']
3630015138.jpg,['train-cbb-72.jpg']
train-cbb-41.jpg,['2380764597.jpg']
1738923752.jpg,['train-cbsd-321.jpg']
train-cbsd-1210.jpg,['1836918462.jpg']
train-cbb-335.jpg,['1830481275.jpg']
train-cgm-90.jpg,['train-cbsd-791.jpg']
train-cgm-253.jpg,['train-cbsd-1046.jpg']
